  46South Dakota            SD            SD    SD  A       SARU                                
  47Tennessee               TN            TN    TN  A       SARU                                
  48Texas                   TX            TX    TX  A       SARU                                
  49Utah                    UT            UT    UT  A       SARU                                
  50Vermont                 VT            VT    VT  A       SARU                                
  51Virginia                VA            VA    VA  A       SARU                                
  53Washington              WA            WA    WA  A       SARU                                
  54West Virginia           WV            WV    WV  A       SARU                                
  55Wisconsin               WI            WI    WI  A       SARU                                
  56Wyoming                 WY            WY    WY  A       SARU                                
  72Puerto Rico             PR            PR    PR  A       SARU                                
 280Annex                   Anx           Anx   Anx A       AUR                                 
 281Bayou                   Byu           Byu   Byu A       AUR                                 
 282Bend                    Bnd           Bnd   Bnd A       AUR                                 
 283Burg                    Bg            Bg    Bg  A       AUR                                 
 284Bluff                   Blf           Blf   Blf A       AUR                                 
 285Bottom                  Btm           Btm   Btm A       AUR                                 
 286Branch                  Br            Br    Br  A       AUR                                 
 287Brook                   Brk           Brk   Brk A       AUR                                 
 288Camp                    Cp            Cp    Cp  A       AUR                                 
 289Canyon                  Cyn           Cyn   Cyn A       AUR                                 
 290Cape                    Cpe           Cpe   Cpe A       AUR                                 
 291Corners                 Cors          Cors  CorsA       AUR                                 
 292Cliffs                  Clfs          Clfs  ClfsA       AUR                                 
 293Club                    Club          Club  ClubA       AUR                                 
 294Course                  Crse          Crse  CrseA       AUR                                 
 295Courts                  Cts           Cts   Cts A       AUR                                 
 296Dale                    Dl            Dl    Dl  A       AUR                                 
 297Dam                     Dm            Dm    Dm  A       AUR                                 
 298Divide                  Dv            Dv    Dv  A       AUR                                 
 300Fall                    Fall          Fall  FallA       AUR                                 
 301Falls                   Fls           Fls   Fls A       AUR                                 
 302Ferry                   Fry           Fry   Fry A       AUR                                 
 303Field                   Fld           Fld   Fld A       AUR                                 
 304Fields                  Flds          Flds  FldsA       AUR                                 
 305Flat                    Flt           Flt   Flt A       AUR                                 
 306Ford                    Frd           Frd   Frd A       AUR                                 
 307Forest                  Frst          Frst  FrstA       AUR                                 
 308Forge                   Frg           Frg   Frg A       AUR                                 
 309Fork                    Frk           Frk   Frk A       AUR                                 
 310Forks                   Frks          Frks  FrksA       AUR                                 
 312Gateway                 Gtwy          Gtwy  GtwyA       AUR                                 
 313Glen                    Gln           Gln   Gln A       AUR                                 
 314Green                   Grn           Grn   Grn A       AUR                                 
 315Grove                   Grv           Grv   Grv A       AUR                                 
 316Harbor                  Hbr           Hbr   Hbr A       AUR                                 
 317Haven                   Hvn           Hvn   Hvn A       AUR                                 
